Product_ID,Sale_Date,Sales_Rep,Region,Sales_Amount,Quantity_Sold,Product_Category,Unit_Cost,Unit_Price,Customer_Type,Discount,Payment_Method,Sales_Channel,Region_and_Sales_Rep,Year,Month,Weekday,Profit,Profit_Margin_Percent,Discount_Amount,Sales_Performance_Category
1052,2023-03-02,Bob,North,5053.97,18,Furniture,152.75,267.22,Returning,0.09,Cash,Online,North-Bob,2023.0,Mar,Thursday,2060.46,40.77,432.9,Medium Sales
1093,,Bob,West,4384.02,17,Furniture,3816.39,4209.44,Returning,0.11,Cash,Retail,West-Bob,,,,6681.85,152.41,7871.65,Medium Sales
1015,,David,South,4631.23,30,Food,261.56,371.4,Returning,0.2,Bank Transfer,Retail,South-David,,,,3295.2,71.15,2228.4,Medium Sales
1072,,Bob,South,2167.94,39,Clothing,4330.03,4467.75,New,0.02,Credit Card,Retail,South-Bob,,,,5371.08,247.75,3484.84,Low Sales
1061,,Charlie,East,3750.2,13,Electronics,637.37,692.71,New,0.08,Credit Card,Online,East-Charlie,,,,719.42,19.18,720.42,Medium Sales
1021,2023-11-02,Charlie,West,3761.15,32,Food,900.79,1106.51,New,0.21,Cash,Online,West-Charlie,2023.0,Nov,Thursday,6583.04,175.03,7435.75,Medium Sales
1083,2023-11-04,Bob,West,618.31,29,Furniture,2408.81,2624.09,Returning,0.14,Cash,Online,West-Bob,2023.0,Nov,Saturday,6243.12,1009.71,10653.81,Low Sales
1087,2023-06-01,Eve,South,7698.92,46,Furniture,3702.51,3964.65,New,0.12,Bank Transfer,Online,South-Eve,2023.0,Jun,Thursday,12058.44,156.63,21884.87,High Sales
1075,,David,South,4223.39,30,Furniture,738.06,1095.4499999999998,New,0.05,Bank Transfer,Online,South-David,,,,10721.7,253.86,1643.17,Medium Sales
1075,2023-09-10,Charlie,West,8239.58,18,Clothing,2228.35,2682.34,New,0.13,Bank Transfer,Online,West-Charlie,2023.0,Sep,Sunday,8171.82,99.18,6276.68,High Sales
1088,,Eve,North,8518.45,13,Furniture,2440.11,2517.6,New,0.23,Bank Transfer,Retail,North-Eve,,,,1007.37,11.83,7527.62,High Sales
1100,,Bob,West,2198.74,43,Food,1100.81,1137.44,Returning,0.08,Bank Transfer,Online,West-Bob,,,,1575.09,71.64,3912.79,Low Sales
1024,2023-11-11,Eve,West,6607.8,21,Food,622.01,641.09,Returning,0.0,Bank Transfer,Retail,West-Eve,2023.0,Nov,Saturday,400.68,6.06,0.0,Medium Sales
1003,,Alice,South,4775.59,30,Furniture,4190.28,4270.65,New,0.2,Cash,Online,South-Alice,,,,2411.1,50.49,25623.9,Medium Sales
1022,,Charlie,South,8813.55,21,Food,2537.2,2869.6,New,0.29,Bank Transfer,Retail,South-Charlie,,,,6980.4,79.2,17475.86,High Sales
1053,,Bob,North,2235.83,48,Furniture,121.19,487.65,New,0.18,Cash,Retail,North-Bob,,,,17590.08,786.74,4213.3,Low Sales
1002,,David,North,6810.35,17,Furniture,4024.76,4420.150000000001,Returning,0.04,Cash,Online,North-David,,,,6721.63,98.7,3005.7,High Sales
1088,2023-04-10,Bob,East,6116.75,40,Electronics,4904.93,5034.35,New,0.1,Credit Card,Retail,East-Bob,2023.0,Apr,Monday,5176.8,84.63,20137.4,Medium Sales
1030,,David,West,3023.48,19,Clothing,3049.33,3209.22,Returning,0.26,Cash,Online,West-David,,,,3037.91,100.48,15853.55,Low Sales
1038,2023-11-03,Bob,South,1452.35,15,Clothing,2543.36,2790.1000000000004,Returning,0.07,Cash,Online,South-Bob,2023.0,Nov,Friday,3701.1,254.84,2929.61,Low Sales
1002,,Eve,North,6551.23,9,Electronics,4398.16,4439.12,New,0.18,Bank Transfer,Online,North-Eve,,,,368.64,5.63,7191.37,Medium Sales
1064,2023-04-01,Eve,East,7412.11,10,Electronics,4764.96,5074.42,New,0.12,Cash,Online,East-Eve,2023.0,Apr,Saturday,3094.6,41.75,6089.3,High Sales
1060,,Eve,East,3224.71,44,Clothing,3784.96,4276.99,New,0.06,Bank Transfer,Retail,East-Eve,,,,21649.32,671.36,11291.25,Low Sales
1021,,Alice,South,6483.84,31,Furniture,2254.99,2441.79,Returning,0.24,Bank Transfer,Online,South-Alice,,,,5790.8,89.31,18166.92,Medium Sales
1033,,David,South,4011.8,23,Furniture,2981.5,3360.4,Returning,0.22,Bank Transfer,Retail,South-David,,,,8714.7,217.23,17003.62,Medium Sales
1076,,Eve,East,7160.75,30,Clothing,3519.63,3774.65,New,0.2,Credit Card,Retail,East-Eve,,,,7650.6,106.84,22647.9,High Sales
1058,2023-05-04,Alice,North,2072.23,33,Furniture,1011.65,1084.28,Returning,0.07,Bank Transfer,Retail,North-Alice,2023.0,May,Thursday,2396.79,115.66,2504.69,Low Sales
1022,2023-01-06,David,East,8913.13,9,Electronics,2263.65,2558.9500000000003,New,0.03,Cash,Online,East-David,2023.0,Jan,Friday,2657.7,29.82,690.92,High Sales
1089,2023-07-11,Bob,West,2945.36,47,Furniture,4157.62,4314.56,New,0.17,Bank Transfer,Retail,West-Bob,2023.0,Jul,Tuesday,7376.18,250.43,34473.33,Low Sales
1049,,Alice,West,3741.08,1,Furniture,3290.89,3317.75,Returning,0.17,Bank Transfer,Online,West-Alice,,,,26.86,0.72,564.02,Medium Sales
1091,2023-04-09,Charlie,South,675.11,44,Food,2085.46,2406.58,Returning,0.06,Bank Transfer,Retail,South-Charlie,2023.0,Apr,Sunday,14129.28,2092.89,6353.37,Low Sales
1059,,Alice,North,1203.97,35,Food,3333.64,3764.52,Returning,0.02,Credit Card,Online,North-Alice,,,,15080.8,1252.59,2635.16,Low Sales
1042,,Alice,North,5207.03,11,Food,635.2,814.1400000000001,Returning,0.02,Cash,Online,North-Alice,,,,1968.34,37.8,179.11,Medium Sales
1092,2023-09-02,David,West,2749.17,34,Furniture,2037.41,2238.65,New,0.3,Credit Card,Online,West-David,2023.0,Sep,Saturday,6842.16,248.88,22834.23,Low Sales
1060,,Bob,East,8371.25,16,Clothing,3975.99,4422.59,New,0.24,Cash,Online,East-Bob,,,,7145.6,85.36,16982.75,High Sales
1080,2023-05-02,Charlie,South,245.46,9,Electronics,1141.52,1550.19,New,0.28,Credit Card,Retail,South-Charlie,2023.0,May,Tuesday,3678.03,1498.42,3906.48,Low Sales
1015,2023-11-08,Eve,East,3853.03,32,Furniture,970.51,1330.84,Returning,0.06,Cash,Retail,East-Eve,2023.0,Nov,Wednesday,11530.56,299.26,2555.21,Medium Sales
1062,2023-06-01,Eve,East,3439.72,15,Clothing,4756.55,4888.46,New,0.29,Credit Card,Online,East-Eve,2023.0,Jun,Thursday,1978.65,57.52,21264.8,Medium Sales
1062,,Alice,East,291.34,12,Furniture,1088.99,1545.0,Returning,0.04,Bank Transfer,Retail,East-Alice,,,,5472.12,1878.26,741.6,Low Sales
1047,2023-08-08,David,North,1331.25,33,Electronics,1341.55,1427.21,Returning,0.15,Credit Card,Online,North-David,2023.0,Aug,Tuesday,2826.78,212.34,7064.69,Low Sales
1062,,David,West,4195.06,45,Furniture,4849.6,5166.72,Returning,0.25,Credit Card,Online,West-David,,,,14270.4,340.17,58125.6,Medium Sales
1051,2023-04-01,Eve,North,4979.36,14,Electronics,3686.81,3710.92,New,0.1,Bank Transfer,Retail,North-Eve,2023.0,Apr,Saturday,337.54,6.78,5195.29,Medium Sales
1055,2023-01-12,Charlie,West,4102.47,8,Furniture,3513.0,3838.42,Returning,0.13,Bank Transfer,Online,West-Charlie,2023.0,Jan,Thursday,2603.36,63.46,3991.96,Medium Sales
1064,,Bob,South,5356.28,8,Electronics,4271.99,4417.79,Returning,0.04,Cash,Online,South-Bob,,,,1166.4,21.78,1413.69,Medium Sales
1003,,Charlie,South,5991.8,27,Furniture,623.32,853.6600000000001,Returning,0.04,Cash,Online,South-Charlie,,,,6219.18,103.79,921.95,Medium Sales
1051,2023-04-04,Bob,East,198.25,12,Electronics,3544.48,3723.66,Returning,0.19,Cash,Online,East-Bob,2023.0,Apr,Tuesday,2150.16,1084.57,8489.94,Low Sales
1007,2023-03-03,Eve,West,4694.54,1,Food,2543.26,2637.9100000000003,Returning,0.2,Credit Card,Online,West-Eve,2023.0,Mar,Friday,94.65,2.02,527.58,Medium Sales
1021,,Bob,West,9638.64,43,Furniture,4154.3,4469.07,Returning,0.23,Cash,Retail,West-Bob,,,,13535.11,140.43,44199.1,High Sales
1073,2023-01-12,David,West,5238.42,40,Furniture,2565.3,3007.4700000000003,Returning,0.17,Credit Card,Retail,West-David,2023.0,Jan,Thursday,17686.8,337.64,20450.8,Medium Sales
1039,,Alice,East,6807.67,42,Clothing,3120.19,3600.14,Returning,0.19,Credit Card,Retail,East-Alice,,,,20157.9,296.11,28729.12,High Sales
1018,,Alice,East,3187.45,11,Clothing,2414.82,2519.07,Returning,0.0,Cash,Online,East-Alice,,,,1146.75,35.98,0.0,Low Sales
1004,,Eve,South,7762.51,39,Electronics,2416.89,2778.4,Returning,0.05,Cash,Online,South-Eve,,,,14098.89,181.63,5417.88,High Sales
1089,,David,North,7751.92,43,Furniture,3851.45,4186.98,Returning,0.3,Credit Card,Online,North-David,,,,14427.79,186.12,54012.04,High Sales
1060,,Charlie,West,5260.83,31,Electronics,3161.4,3339.66,Returning,0.02,Bank Transfer,Online,West-Charlie,,,,5526.06,105.04,2070.59,Medium Sales
1014,,David,West,9762.54,17,Food,3184.65,3204.01,New,0.2,Bank Transfer,Online,West-David,,,,329.12,3.37,10893.63,High Sales
1009,,Alice,North,1342.95,33,Clothing,2278.9,2626.9,New,0.05,Credit Card,Online,North-Alice,,,,11484.0,855.13,4334.38,Low Sales
1090,,Alice,West,267.78,32,Electronics,2678.99,3152.28,Returning,0.22,Cash,Retail,West-Alice,,,,15145.28,5655.87,22192.05,Low Sales
1053,2023-02-10,David,East,7724.57,29,Electronics,3741.3,4061.04,Returning,0.21,Credit Card,Online,East-David,2023.0,Feb,Friday,9272.46,120.04,24731.73,High Sales
1002,,David,East,8090.84,21,Clothing,4138.41,4361.7,Returning,0.07,Credit Card,Retail,East-David,,,,4689.09,57.96,6411.7,High Sales
1084,,Alice,West,1290.05,21,Furniture,3497.98,3765.31,New,0.08,Cash,Online,West-Alice,,,,5613.93,435.17,6325.72,Low Sales
1092,,Charlie,East,2729.27,40,Electronics,4624.16,4731.98,New,0.2,Bank Transfer,Retail,East-Charlie,,,,4312.8,158.02,37855.84,Low Sales
1060,,Eve,East,273.77,23,Clothing,4110.6,4488.370000000001,New,0.12,Credit Card,Online,East-Eve,,,,8688.71,3173.73,12387.9,Low Sales
1071,,Eve,West,3003.76,6,Furniture,2831.23,3206.98,Returning,0.06,Bank Transfer,Retail,West-Eve,,,,2254.5,75.06,1154.51,Low Sales
1044,,David,South,7754.1,22,Food,3373.46,3454.76,Returning,0.22,Bank Transfer,Retail,South-David,,,,1788.6,23.07,16721.04,High Sales
1008,2023-01-01,Eve,North,5227.81,38,Clothing,4635.23,5075.44,Returning,0.05,Cash,Online,North-Eve,2023.0,Jan,Sunday,16727.98,319.98,9643.34,Medium Sales
1047,,Alice,East,3546.15,37,Electronics,3114.88,3256.78,Returning,0.26,Credit Card,Online,East-Alice,,,,5250.3,148.06,31330.22,Medium Sales
1035,,Alice,South,3780.22,45,Food,4132.79,4624.1,New,0.15,Credit Card,Retail,South-Alice,,,,22108.95,584.86,31212.68,Medium Sales
1078,,David,East,113.4,8,Furniture,3459.61,3657.23,Returning,0.03,Bank Transfer,Online,East-David,,,,1580.96,1394.14,877.74,Low Sales
